"STOP_ID","DIRECTION_ID","STOP_NAME","STATION_NAME","STATION_DESCRIPTIVE_NAME","MAP_ID","ADA","RED","BLUE","G","BRN","P","Pexp","Y","Pnk","O","Location"
30186,"S","Pulaski (Midway-bound)","Pulaski","Pulaski (Orange Line)",40960,"true","false","false","false","false","false","false","false","false","true","(41.799756, -87.724493)"
30223,"N","Garfield (Howard-bound)","Garfield","Garfield (Red Line)",41170,"true","true","false","false","false","false","false","false","false","false","(41.79542, -87.631157)"
30160,"S","Rosemont (Forest Pk-bound)","Rosemont","Rosemont (Blue Line)",40820,"true","false","true","false","false","false","false","false","false","false","(41.983507, -87.859388)"
30241,"N","Central (Linden-bound)","Central","Central (Purple Line)",41250,"false","false","false","false","false","true","true","false","false","false","(42.063987, -87.685617)"
30119,"E","Ridgeland (63rd-bound)","Ridgeland","Ridgeland (Green Line)",40610,"false","false","false","true","false","false","false","false","false","false","(41.887159, -87.783661)"
30085,"W","Clinton (Forest Pk-bound)","Clinton","Clinton (Blue Line)",40430,"false","false","true","false","false","false","false","false","false","false","(41.875539, -87.640984)"
30020,"N","Morse (Howard-bound)","Morse","Morse (Red Line)",40100,"false","true","false","false","false","false","false","false","false","false","(42.008362, -87.665909)"
30115,"N","Damen/Milwaukee (O'Hare-bound)","Damen","Damen (Blue Line)",40590,"false","false","true","false","false","false","false","false","false","false","(41.909744, -87.677437)"
30168,"S","Francisco (Loop-bound)","Francisco","Francisco (Brown Line)",40870,"true","false","false","false","true","false","false","false","false","false","(41.966046, -87.701644)"
30263,"E","Oak Park (63rd-bound)","Oak Park","Oak Park (Green Line)",41350,"false","false","false","true","false","false","false","false","false","false","(41.886988, -87.793783)"
30175,"N","Howard (Linden, Skokie-bound)","Howard","Howard (Red, Purple & Yellow Lines)",40900,"true","false","false","false","false","true","true","true","false","false","(42.019063, -87.672892)"
30162,"W","18th (54th/Cermak-bound)","18th","18th (Pink Line)",40830,"true","false","false","false","false","false","false","false","true","false","(41.857908, -87.669147)"
30015,"S","Jackson/Dearborn (Forest Pk-bound)","Jackson","Jackson (Blue Line)",40070,"true","false","true","false","false","false","false","false","false","false","(41.878183, -87.629296)"
30382,"S","Cermak-McCormick Place (63rd-bound)","Cermak-McCormick Place","Cermak-McCormick Place (Green Line)",41690,"true","false","false","true","false","false","false","false","false","false","(41.853115, -87.626402)"
30148,"S","Granville (95th-bound)","Granville","Granville (Red Line)",40760,"true","true","false","false","false","false","false","false","false","false","(41.993664, -87.659202)"
30180,"W","Pulaski (Forest Pk-bound)","Pulaski","Pulaski (Blue Line)",40920,"false","false","true","false","false","false","false","false","false","false","(41.873797, -87.725663)"
30272,"S","Chicago (Forest Pk-bound)","Chicago","Chicago (Blue Line)",41410,"false","false","true","false","false","false","false","false","false","false","(41.896075, -87.655214)"
30226,"S","Kedzie (Loop-bound)","Kedzie","Kedzie (Brown Line)",41180,"true","false","false","false","true","false","false","false","false","false","(41.965996, -87.708821)"
30088,"N","95th/Dan Ryan (Howard-bound)","95th/Dan Ryan","95th/Dan Ryan (Red Line)",40450,"true","true","false","false","false","false","false","false","false","false","(41.722377, -87.624342)"
30199,"E","Polk (Loop-bound)","Polk","Polk (Pink Line)",41030,"true","false","false","false","false","false","false","false","true","false","(41.871551, -87.66953)"
30141,"N","Washington/Wells (Inner Loop)","Washington/Wells","Washington/Wells (Brown, Orange, Purple & Pink Lines)",40730,"true","false","false","false","false","false","true","false","true","true","(41.882695, -87.63378)"
30144,"W","Western (54th/Cermak-bound)","Western","Western (Pink Line)",40740,"true","false","false","false","false","false","false","false","true","false","(41.854225, -87.685129)"
30381,"N","Cermak-McCormick Place (Harlem-bound)","Cermak-McCormick Place","Cermak-McCormick Place (Green Line)",41690,"true","false","false","true","false","false","false","false","false","false","(41.853115, -87.626402)"
30129,"N","Western (O'Hare Branch) (O'Hare-bound)","Western","Western (Blue Line - O'Hare Branch)",40670,"true","false","true","false","false","false","false","false","false","false","(41.916157, -87.687364)"
30182,"S","Midway (Arrival)","Midway","Midway (Orange Line)",40930,"true","false","false","false","false","false","false","false","false","true","(41.78661, -87.737875)"
30267,"N","Bryn Mawr (Howard-bound)","Bryn Mawr","Bryn Mawr (Red Line)",41380,"false","true","false","false","false","false","false","false","false","false","(41.983504, -87.65884)"
30013,"S","Belmont (O'Hare Branch) (Forest Pk-bound)","Belmont","Belmont (Blue Line)",40060,"false","false","true","false","false","false","false","false","false","false","(41.938132, -87.712359)"
30048,"E","Kedzie-Homan (O'Hare-bound)","Kedzie-Homan","Kedzie-Homan (Blue Line)",40250,"true","false","true","false","false","false","false","false","false","false","(41.874341, -87.70604)"
30064,"N","Grand/State (Howard-bound)","Grand","Grand (Red Line)",40330,"true","true","false","false","false","false","false","false","false","false","(41.891665, -87.628021)"
30111,"N","California (O'Hare-bound)","California","California (Blue Line)",40570,"false","false","true","false","false","false","false","false","false","false","(41.921939, -87.69689)"
30170,"S","Thorndale (95th-bound)","Thorndale","Thorndale (Red Line)",40880,"false","true","false","false","false","false","false","false","false","false","(41.990259, -87.659076)"
30173,"N","Howard (Terminal arrival)","Howard","Howard (Red, Purple & Yellow Lines)",40900,"true","true","false","false","false","false","false","false","false","false","(42.019063, -87.672892)"
30065,"S","Grand/State (95th-bound)","Grand","Grand (Red Line)",40330,"true","true","false","false","false","false","false","false","false","false","(41.891665, -87.628021)"
30237,"N","47th (Howard-bound)","47th","47th (Red Line)",41230,"true","true","false","false","false","false","false","false","false","false","(41.810318, -87.63094)"
30192,"S","69th (95th-bound)","69th","69th (Red Line)",40990,"true","true","false","false","false","false","false","false","false","false","(41.768367, -87.625724)"
30108,"S","Irving Park (O'Hare Branch) (Forest Pk-bound)","Irving Park","Irving Park (Blue Line)",40550,"false","false","true","false","false","false","false","false","false","false","(41.952925, -87.729229)"
30053,"S","Main (Howard-Loop-bound)","Main","Main (Purple Line)",40270,"false","false","false","false","false","true","true","false","false","false","(42.033456, -87.679538)"
30205,"N","Ashland (Loop-bound)","Ashland","Ashland (Orange Line)",41060,"true","false","false","false","false","false","false","false","false","true","(41.839234, -87.665317)"
30002,"W","Austin (Forest Pk-bound)","Austin","Austin (Blue Line)",40010,"false","false","true","false","false","false","false","false","false","false","(41.870851, -87.776812)"
30030,"E","LaSalle/Van Buren (Outer Loop)","LaSalle/Van Buren","LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",40160,"false","false","false","false","true","false","false","false","false","false","(41.8768, -87.631739)"
30165,"E","H.W. Library (Outer Loop)","Harold Washington Library-State/Van Buren","Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,"true","false","false","false","true","false","false","false","false","false","(41.876862, -87.628196)"
30067,"S","Berwyn (95th-bound)","Berwyn","Berwyn (Red Line)",40340,"false","true","false","false","false","false","false","false","false","false","(41.977984, -87.658668)"
30178,"S","63rd (95th-bound)","63rd","63rd (Red Line)",40910,"true","true","false","false","false","false","false","false","false","false","(41.780536, -87.630952)"
30190,"W","Harlem (Forest Pk Branch) (Terminal arrival)","Harlem","Harlem (Blue Line - Forest Park Branch)",40980,"false","false","true","false","false","false","false","false","false","false","(41.87349, -87.806961)"
30253,"N","Paulina (Kimball-bound)","Paulina","Paulina (Brown Line)",41310,"true","false","false","false","true","false","false","false","false","false","(41.943623, -87.670907)"
30225,"N","Kedzie (Kimball-bound)","Kedzie","Kedzie (Brown Line)",41180,"true","false","false","false","true","false","false","false","false","false","(41.965996, -87.708821)"
30047,"S","79th (95th-bound)","79th","79th (Red Line)",40240,"true","true","false","false","false","false","false","false","false","false","(41.750419, -87.625112)"
30374,"S","Clark/Lake (Forest Pk-bound)","Clark/Lake","Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,"true","false","true","false","false","false","false","false","false","false","(41.885737, -87.630886)"
30136,"W","Laramie (Harlem-bound)","Laramie","Laramie (Green Line)",40700,"true","false","false","true","false","false","false","false","false","false","(41.887163, -87.754986)"
30096,"S","Grand/Milwaukee (Forest Pk-bound)","Grand","Grand (Blue Line)",40490,"false","false","true","false","false","false","false","false","false","false","(41.891189, -87.647578)"
30130,"S","Western (O'Hare Branch) (Forest Pk-bound)","Western","Western (Blue Line - O'Hare Branch)",40670,"true","false","true","false","false","false","false","false","false","false","(41.916157, -87.687364)"
30138,"S","Chicago (Loop-bound)","Chicago","Chicago (Brown & Purple Lines)",40710,"true","false","false","false","true","false","true","false","false","false","(41.89681, -87.635924)"
30197,"N","Logan Square (O'Hare-bound)","Logan Square","Logan Square (Blue Line)",41020,"true","false","true","false","false","false","false","false","false","false","(41.929728, -87.708541)"
30135,"E","Laramie (63rd-bound)","Laramie","Laramie (Green Line)",40700,"true","false","false","true","false","false","false","false","false","false","(41.887163, -87.754986)"
30291,"E","Conservatory (63rd-bound)","Conservatory","Conservatory (Green Line)",41670,"true","false","false","true","false","false","false","false","false","false","(41.884904, -87.716523)"
30012,"N","Belmont (O'Hare Branch) (O'Hare-bound)","Belmont","Belmont (Blue Line)",40060,"false","false","true","false","false","false","false","false","false","false","(41.938132, -87.712359)"
30066,"N","Berwyn (Howard-bound)","Berwyn","Berwyn (Red Line)",40340,"false","true","false","false","false","false","false","false","false","false","(41.977984, -87.658668)"
30289,"N","Lake (Howard-bound)","Lake","Lake (Red Line)",41660,"true","true","false","false","false","false","false","false","false","false","(41.884809, -87.627813)"
30281,"N","Irving Park (Kimball-bound)","Irving Park","Irving Park (Brown Line)",41460,"true","false","false","false","true","false","false","false","false","false","(41.954521, -87.674868)"
30157,"E","Illinois Medical District (O'Hare-bound)","Illinois Medical District","Illinois Medical District (Blue Line)",40810,"true","false","true","false","false","false","false","false","false","false","(41.875706, -87.673932)"
30156,"S","Sedgwick (Loop-bound)","Sedgwick","Sedgwick (Brown & Purple Lines)",40800,"true","false","false","false","true","false","true","false","false","false","(41.910409, -87.639302)"
30057,"W","Ashland/63rd (Terminal arrival)","Ashland/63rd","Ashland/63rd (Green Line)",40290,"true","false","false","true","false","false","false","false","false","false","(41.77886, -87.663766)"
30279,"N","Chicago (Howard-bound)","Chicago","Chicago (Red Line)",41450,"true","true","false","false","false","false","false","false","false","false","(41.896671, -87.628176)"
30001,"E","Austin (O'Hare-bound)","Austin","Austin (Blue Line)",40010,"false","false","true","false","false","false","false","false","false","false","(41.870851, -87.776812)"
30032,"E","Ashland (Loop-63rd-bound)","Ashland","Ashland (Green & Pink Lines)",40170,"true","false","false","true","false","false","false","false","true","false","(41.885269, -87.666969)"
30227,"N","Jarvis (Howard-bound)","Jarvis","Jarvis (Red Line)",41190,"false","true","false","false","false","false","false","false","false","false","(42.015876, -87.669092)"
30228,"S","Jarvis (95th-bound)","Jarvis","Jarvis (Red Line)",41190,"false","true","false","false","false","false","false","false","false","false","(42.015876, -87.669092)"
30288,"S","Montrose (Loop-bound)","Montrose","Montrose (Brown Line)",41500,"true","false","false","false","true","false","false","false","false","false","(41.961756, -87.675047)"
30082,"E","Cicero (Loop-bound)","Cicero","Cicero (Pink Line)",40420,"true","false","false","false","false","false","false","false","true","false","(41.85182, -87.745336)"
30201,"E","Kedzie (Loop-bound)","Kedzie","Kedzie (Pink Line)",41040,"true","false","false","false","false","false","false","false","true","false","(41.853964, -87.705408)"
30081,"S","Roosevelt (Midway-63rd-bound)","Roosevelt","Roosevelt (Red, Orange & Green Lines)",41400,"true","false","false","true","false","false","false","false","false","true","(41.867405, -87.62659)"
30200,"W","Polk (54th/Cermak-bound)","Polk","Polk (Pink Line)",41030,"true","false","false","false","false","false","false","false","true","false","(41.871551, -87.66953)"
30103,"N","Diversey (Kimball-Linden-bound)","Diversey","Diversey (Brown & Purple Lines)",40530,"true","false","false","false","true","false","true","false","false","false","(41.932732, -87.653131)"
30062,"N","Division (O'Hare-bound)","Division","Division (Blue Line)",40320,"false","false","true","false","false","false","false","false","false","false","(41.903355, -87.666496)"
30240,"S","Addison (Forest Pk-bound)","Addison","Addison (Blue Line)",41240,"true","false","true","false","false","false","false","false","false","false","(41.94738, -87.71906)"
30191,"N","69th (Howard-bound)","69th","69th (Red Line)",40990,"true","true","false","false","false","false","false","false","false","false","(41.768367, -87.625724)"
30051,"W","State/Lake (Outer Loop)","State/Lake","State/Lake (Brown, Green, Orange, Pink & Purple Lines)",40260,"false","false","false","true","true","false","false","false","false","false","(41.88574, -87.627835)"
30262,"W","LaSalle (Forest Pk-bound)","LaSalle","LaSalle (Blue Line)",41340,"false","false","true","false","false","false","false","false","false","false","(41.875568, -87.631722)"
30073,"S","Washington (Forest Pk-bound)","Washington","Washington (Blue Line)",40370,"false","false","true","false","false","false","false","false","false","false","(41.883164, -87.62944)"
30089,"S","95th/Dan Ryan (95th-bound)","95th/Dan Ryan","95th/Dan Ryan (Red Line)",40450,"true","true","false","false","false","false","false","false","false","false","(41.722377, -87.624342)"
30118,"W","Kostner (54th/Cermak-bound)","Kostner","Kostner (Pink Line)",40600,"true","false","false","false","false","false","false","false","true","false","(41.853751, -87.733258)"
30026,"N","Dempster-Skokie (Arrival)","Dempster-Skokie","Dempster-Skokie  (Yellow Line)",40140,"true","false","false","false","false","false","false","true","false","false","(42.038951, -87.751919)"
30055,"W","Central (Harlem-bound)","Central","Central (Green Line)",40280,"true","false","false","true","false","false","false","false","false","false","(41.887389, -87.76565)"
30102,"S","Foster (Howard-Loop-bound)","Foster","Foster (Purple Line)",40520,"false","false","false","false","false","true","true","false","false","false","(42.05416, -87.68356)"
30265,"E","California (63rd-bound)","California","California (Green Line)",41360,"true","false","false","true","false","false","false","false","false","false","(41.88422, -87.696234)"
30172,"S","O'Hare (Forest Pk-bound)","O'Hare","O'Hare (Blue Line)",40890,"true","false","true","false","false","false","false","false","false","false","(41.97766526, -87.90422307)"
30384,"S","Washington/Wabash (Inner Loop)","Washington/Wabash","Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",41700,"true","false","false","true","false","false","true","false","true","true","(41.88322, -87.626189)"
30014,"N","Jackson/Dearborn (O'Hare-bound)","Jackson","Jackson (Blue Line)",40070,"true","false","true","false","false","false","false","false","false","false","(41.878183, -87.629296)"
30110,"S","Jackson/State (95th-bound)","Jackson","Jackson (Red Line)",40560,"true","true","false","false","false","false","false","false","false","false","(41.878153, -87.627596)"
30295,"E","Morgan (Loop-63rd-bound)","Morgan","Morgan (Green & Pink Lines)",41510,"true","false","false","true","false","false","false","false","true","false","(41.885586, -87.652193)"
30261,"E","LaSalle (O'Hare-bound)","LaSalle","LaSalle (Blue Line)",41340,"false","false","true","false","false","false","false","false","false","false","(41.875568, -87.631722)"
30290,"S","Lake (95th-bound)","Lake","Lake (Red Line)",41660,"true","true","false","false","false","false","false","false","false","false","(41.884809, -87.627813)"
30078,"N","Noyes (Linden-bound)","Noyes","Noyes (Purple Line)",40400,"false","false","false","false","false","true","true","false","false","false","(42.058282, -87.683337)"
30149,"N","Lawrence (Howard-bound)","Lawrence","Lawrence (Red Line)",40770,"false","true","false","false","false","false","false","false","false","false","(41.969139, -87.658493)"
30061,"S","Western (Midway-bound)","Western","Western (Orange Line)",40310,"true","false","false","false","false","false","false","false","false","true","(41.804546, -87.684019)"
30029,"W","Pulaski (54th/Cermak-bound)","Pulaski","Pulaski (Pink Line)",40150,"true","false","false","false","false","false","false","false","true","false","(41.853732, -87.724311)"
30169,"N","Thorndale (Howard-bound)","Thorndale","Thorndale (Red Line)",40880,"false","true","false","false","false","false","false","false","false","false","(41.990259, -87.659076)"
30068,"E","UIC-Halsted (O'Hare-bound)","UIC-Halsted","UIC-Halsted (Blue Line)",40350,"true","false","true","false","false","false","false","false","false","false","(41.875474, -87.649707)"
30035,"W","Oak Park (Forest Pk-bound)","Oak Park","Oak Park (Blue Line)",40180,"false","false","true","false","false","false","false","false","false","false","(41.872108, -87.791602)"
30264,"W","Oak Park (Harlem-bound)","Oak Park","Oak Park (Green Line)",41350,"false","false","false","true","false","false","false","false","false","false","(41.886988, -87.793783)"
30114,"W","54th/Cermak (Terminal arrival)","54th/Cermak","54th/Cermak (Pink Line)",40580,"true","false","false","false","false","false","false","false","true","false","(41.85177331, -87.75669201)"
30222,"W","Clinton (Harlem-54th/Cermak-bound)","Clinton","Clinton (Green & Pink Lines)",41160,"true","false","false","true","false","false","false","false","true","false","(41.885678, -87.641782)"
30297,"N","Oakton-Skokie (Dempster-Skokie-bound)","Oakton-Skokie","Oakton-Skokie (Yellow Line)",41680,"true","false","false","false","false","false","false","true","false","false","(42.02624348, -87.74722084)"
30147,"N","Granville (Howard-bound)","Granville","Granville (Red Line)",40760,"true","true","false","false","false","false","false","false","false","false","(41.993664, -87.659202)"
30050,"E","State/Lake (Inner Loop)","State/Lake","State/Lake (Brown, Green, Orange, Pink & Purple Lines)",40260,"false","false","false","true","false","false","true","false","true","true","(41.88574, -87.627835)"
30280,"S","Chicago (95th-bound)","Chicago","Chicago (Red Line)",41450,"true","true","false","false","false","false","false","false","false","false","(41.896671, -87.628176)"
30239,"N","Addison (O'Hare-bound)","Addison","Addison (Blue Line)",41240,"true","false","true","false","false","false","false","false","false","false","(41.94738, -87.71906)"
30072,"N","Washington (O'Hare-bound)","Washington","Washington (Blue Line)",40370,"false","false","true","false","false","false","false","false","false","false","(41.883164, -87.62944)"
30043,"W","Western (Forest Pk Branch) (Forest Pk-bound)","Western","Western (Blue Line - Forest Park Branch)",40220,"false","false","true","false","false","false","false","false","false","false","(41.875478, -87.688436)"
30036,"N","Sox-35th (Howard-bound)","Sox-35th","Sox-35th (Red Line)",40190,"true","true","false","false","false","false","false","false","false","false","(41.831191, -87.630636)"
